"episode_id","slug","title","status","primary_channel","languages","last_updated"
"E001","project_overview","Project Overview","migrated_auto","multi-channel","en|fa","2026-02-24"
"E002","control_theory","Control Theory","migrated_auto","multi-channel","en|fa","2026-02-24"
"E003","plant_models_and_dynamics","Plant Models And Dynamics","migrated_auto","multi-channel","en|fa","2026-02-24"
"E004","pso_optimization_fundamentals","Pso Optimization Fundamentals","migrated_auto","multi-channel","en|fa","2026-02-24"
"E005","simulation_engine_architecture","Simulation Engine Architecture","migrated_auto","multi-channel","en|fa","2026-02-24"
"E006","analysis_and_visualization_tools","Analysis And Visualization Tools","migrated_auto","podcast","en|fa","2026-02-24"
"E007","testing_and_quality_assurance","Testing And Quality Assurance","migrated_auto","podcast","en|fa","2026-02-24"
"E008","research_outputs_and_publications","Research Outputs And Publications","migrated_auto","podcast","en","2026-02-24"
"E009","educational_materials_and_learning_paths","Educational Materials And Learning Paths","migrated_auto","podcast","en","2026-02-24"
"E010","documentation_system_and_navigation","Documentation System And Navigation","migrated_auto","podcast","en","2026-02-24"
"E011","configuration_and_deployment","Configuration And Deployment","migrated_auto","podcast","en","2026-02-24"
"E012","hardware_in_loop","Hardware In Loop","migrated_auto","podcast","en","2026-02-24"
"E013","monitoring_infrastructure","Monitoring Infrastructure","migrated_auto","podcast","en","2026-02-24"
"E014","development_infrastructure","Development Infrastructure","migrated_auto","podcast","en","2026-02-24"
"E015","architectural_standards_and_patterns","Architectural Standards And Patterns","migrated_auto","podcast","en","2026-02-24"
"E016","attribution_and_citations","Attribution And Citations","migrated_auto","podcast","en","2026-02-24"
"E017","memory_management_and_performance","Memory Management And Performance","migrated_auto","podcast","en","2026-02-24"
"E018","browser_automation_and_testing","Browser Automation And Testing","migrated_auto","podcast","en","2026-02-24"
"E019","workspace_organization","Workspace Organization","migrated_auto","podcast","en","2026-02-24"
"E020","version_control_and_git_workflow","Version Control And Git Workflow","migrated_auto","podcast","en","2026-02-24"
"E021","future_work_and_roadmap","Future Work And Roadmap","migrated_auto","podcast","en","2026-02-24"
"E022","key_statistics_and_metrics","Key Statistics And Metrics","migrated_auto","podcast","en","2026-02-24"
"E023","visual_diagrams_and_schematics","Visual Diagrams And Schematics","migrated_auto","podcast","en","2026-02-24"
"E024","lessons_learned_and_best_practices","Lessons Learned And Best Practices","migrated_auto","podcast","en","2026-02-24"
"E025","appendix_reference_part_1","Appendix Reference Part 1","migrated_auto","podcast","en","2026-02-24"
"E026","appendix_reference_part_2","Appendix Reference Part 2","migrated_auto","podcast","en","2026-02-24"
"E027","appendix_reference_part_3","Appendix Reference Part 3","migrated_auto","podcast","en","2026-02-24"
"E028","appendix_reference_part_4","Appendix Reference Part 4","migrated_auto","podcast","en","2026-02-24"
"E029","appendix_reference_part_5","Appendix Reference Part 5","migrated_auto","podcast","en","2026-02-24"
"E030","controller_base_factory","Controller Base Factory","migrated_auto","podcast","en","2026-02-24"
"E031","part_2_infrastructure_episode_11","Part 2 Infrastructure Episode 11","migrated_auto","podcast","en|fa","2026-02-24"
"E032","part_2_infrastructure_episode_12","Part 2 Infrastructure Episode 12","migrated_auto","podcast","en","2026-02-24"
"E033","part_2_infrastructure_episode_13","Part 2 Infrastructure Episode 13","migrated_auto","podcast","en","2026-02-24"
"E034","part_2_infrastructure_episode_14","Part 2 Infrastructure Episode 14","migrated_auto","podcast","en","2026-02-24"
"E035","part_2_infrastructure_episode_15","Part 2 Infrastructure Episode 15","migrated_auto","podcast","en","2026-02-24"
"E036","part_2_infrastructure_episode_16","Part 2 Infrastructure Episode 16","migrated_auto","podcast","en","2026-02-24"
"E037","part_2_infrastructure_episode_17","Part 2 Infrastructure Episode 17","migrated_auto","podcast","en","2026-02-24"
"E038","part_2_infrastructure_episode_18","Part 2 Infrastructure Episode 18","migrated_auto","podcast","en","2026-02-24"
