source_type,source_path,episode_range,episode_start,episode_end,notes
slides,slides/sections/00_introduction.tex,E001-E001,E001,E001,Intro context for episode series kickoff
slides_wrapper,slides/sections/part1_foundations.tex,E001-E020,E001,E020,Part I wrapper
slides_section,slides/sections/part1_foundations/01_project_overview.tex,E001-E004,E001,E004,Section 01 mapping
slides_section,slides/sections/part1_foundations/02_control_theory.tex,E005-E008,E005,E008,Section 02 mapping
slides_section,slides/sections/part1_foundations/03_plant_models.tex,E009-E012,E009,E012,Section 03 mapping
slides_section,slides/sections/part1_foundations/04_optimization_pso.tex,E013-E016,E013,E016,Section 04 mapping
slides_section,slides/sections/part1_foundations/05_simulation_engine.tex,E017-E020,E017,E020,Section 05 mapping
slides_wrapper,slides/sections/part2_infrastructure.tex,E021-E044,E021,E044,Part II wrapper
slides_section,slides/sections/part2_infrastructure/06_analysis_visualization.tex,E021-E024,E021,E024,Section 06 mapping
slides_section,slides/sections/part2_infrastructure/07_testing_qa.tex,E025-E028,E025,E028,Section 07 mapping
slides_section,slides/sections/part2_infrastructure/08_research_outputs.tex,E029-E032,E029,E032,Section 08 mapping
slides_section,slides/sections/part2_infrastructure/09_educational_materials.tex,E033-E036,E033,E036,Section 09 mapping
slides_section,slides/sections/part2_infrastructure/10_documentation_system.tex,E037-E040,E037,E040,Section 10 mapping
slides_section,slides/sections/part2_infrastructure/11_configuration_deployment.tex,E041-E044,E041,E044,Section 11 mapping
slides_wrapper,slides/sections/part3_advanced.tex,E045-E068,E045,E068,Part III wrapper
slides_section,slides/sections/part3_advanced/12_hil_system.tex,E045-E048,E045,E048,Section 12 mapping
slides_section,slides/sections/part3_advanced/13_monitoring_infrastructure.tex,E049-E052,E049,E052,Section 13 mapping
slides_section,slides/sections/part3_advanced/14_development_infrastructure.tex,E053-E056,E053,E056,Section 14 mapping
slides_section,slides/sections/part3_advanced/15_architectural_standards.tex,E057-E060,E057,E060,Section 15 mapping
slides_section,slides/sections/part3_advanced/16_attribution_citations.tex,E061-E064,E061,E064,Section 16 mapping
slides_section,slides/sections/part3_advanced/17_memory_performance.tex,E065-E068,E065,E068,Section 17 mapping
